City,ZipCode,admname1,adm1,adm2,placename,Clown_Name,Clown_Na_1,Country
CROSSVILLE,38555,Tennessee,TN,Cumberland,Crossville,PICKETYPOCKET,PICKETYPOCKET,USA
CROSSVILLE,38555,Tennessee,TN,Cumberland,Crossville,PISTACHIO,PISTACHIO,USA
CROTHERSVILLE,47229,Indiana,IN,Jackson,Crothersville,KNUTE,KNUTE,USA
CROTHERSVILLE,47229,Indiana,IN,Jackson,Crothersville,MULLIGAN,MULLIGAN,USA
CROTON ON HUDSON,10520,New York,NY,Westchester,Croton On Hudson,SMOKEY,SMOKEY,USA
CROWN POINT,46307,Indiana,IN,Lake,Crown Point,MOONBEAM,MOONBEAM,USA
CROWN POINT,46307,Indiana,IN,Lake,Crown Point,TRIXIE,TRIXIE,USA
CRYSTAL,55428,Minnesota,MN,Hennepin,Minneapolis,PERKY,PERKY,USA
CRYSTAL LAKE,60014,Illinois,IL,McHenry,Crystal Lake,PEE-WEE,PEE WEE,USA
CRYSTAL RIVER,34429,Florida,FL,Citrus,Crystal River,FAMUS FUMBLES,FAMUS FUMBLES,USA
CRYSTAL SPRING,15536,Pennsylvania,PA,Fulton,Crystal Spring,POKEY POPPINS,POKEY POPPINS,USA
CUBA,65453,Missouri,MO,Crawford,Cuba,MR GENIUS,MR GENIUS,USA
CUBA,65453,Missouri,MO,Crawford,Cuba,DESSIE LOU,DESSIE LOU,USA
CUBA,14727,New York,NY,Allegany,Cuba,MAY-B.,MAY-B.,USA
CYPRESS,90630,California,CA,Orange,Cypress,PICKLES,PICKLES,USA
CYPRESS,77433,Texas,TX,Harris,Cypress,OATMEAL COOKIE,OATMEAL COOKIE,USA
CYPRESS,77429,Texas,TX,Harris,Cypress,HARMONY,HARMONY,USA
CYPRESS,77429,Texas,TX,Harris,Cypress,MADAME FLEA FLEA,MADAME FLEA FLEA,USA
CYPRESS,77429,Texas,TX,Harris,Cypress,SUGAR FOOTE,SUGAR FOOTE,USA
CYPRESS,77429,Texas,TX,Harris,Cypress,KUNZIE,KUNZIE,USA
CYPRESS,77429,Texas,TX,Harris,Cypress,NOODLES,NOODLES,USA
CYPRESS,77429,Texas,TX,Harris,Cypress,GLITTERBUG,GLITTERBUG,USA
DALE CITY,22193,Virginia,VA,Prince William,Woodbridge,MR. BRAIN,MR. BRAIN,USA
DALEVILLE,36322,Alabama,AL,Dale,Daleville,LACEY,LACEY,USA
DALLAS,75249,Texas,TX,Dallas,Dallas,BUBBLE-OSS,BUBBLE-OSS,USA
DALLAS,75229,Texas,TX,Dallas,Dallas,CANDOO,CANDOO,USA
DALLAS,75374,Texas,TX,Dallas,Dallas,SUGAR,SUGAR,USA
DALLAS,75231,Texas,TX,Dallas,Dallas,HODGE PODGE,HODGE PODGE,USA
DALLAS,75209,Texas,TX,Dallas,Dallas,IZZYBELL,IZZYBELL,USA
DALLAS,75229,Texas,TX,Dallas,Dallas,BOOPSIE,BOOPSIE,USA
DALLAS,75248,Texas,TX,Dallas,Dallas,BEANIE,BEANIE,USA
DALLAS,75229,Texas,TX,Dallas,Dallas,,,USA
DALLAS,75229,Texas,TX,Dallas,Dallas,RAZZLE DAZZLE THE CLOWN,RAZZLE DAZZLE THE CLOWN,USA
DALY CITY,94015,California,CA,San Mateo,Daly City,PASHA,PASHA,USA
DAMASCUS,20872,Maryland,MD,Montgomery,Damascus,FEATHER,FEATHER,USA
DAMASCUS,20872,Maryland,MD,Montgomery,Damascus,FEATHER,FEATHER,
DAMIANSVILLE,62215,Illinois,IL,Clinton,Albers,SNIGGLES,SNIGGLES,USA
DANBURY,6811,Connecticut,CT,Fairfield,Danbury,MS. BUBBLES,MS. BUBBLES,USA
DANIELSON,6239,Connecticut,CT,Windham,Danielson,K.C.,K.C.,USA
DANVILLE,61834,Illinois,IL,Vermilion,Danville,BLOSSOM,BLOSSOM,USA
DANVILLE,61832,Illinois,IL,Vermilion,Danville,DIMPLES,DIMPLES,USA
DARIEN,60561,Illinois,IL,DuPage,Darien,SASSY,SASSY,USA
DASSEL,55325,Minnesota,MN,Meeker,Dassel,MAIZY,MAIZY,USA
DAVENPORT,52803,Iowa,IA,Scott,Davenport,TOTO,TOTO,USA
DAVENPORT,68335,Nebraska,NE,Thayer,Davenport,RAIN,RAIN,USA
DAVENPORT,68335,Nebraska,NE,Thayer,Davenport,BOW,BOW,USA
DAVENPORT,33897,Florida,FL,Polk,Davenport,DING A LING,DING-A-LING,USA
DAYTON,45440,Ohio,OH,Montgomery,Dayton,SCRAPY,SCRAPY,USA
DAYTON,37321,Tennessee,TN,Rhea,Dayton,NECO,NECO,USA
DAYTONA BEACH,32114,Florida,FL,Volusia,Daytona Beach,GIGGLE,GIGGLE,USA
DEARBORN HEIGHTS,48127,Michigan,MI,Wayne,Dearborn Heights,MISS SPARKLES,MISS SPARKLES,USA
DECATAR,62521,Illinois,IL,Macon,Decatur,FLAME,FLAME,USA
DECATUR,62521,Illinois,IL,Macon,Decatur,TRAMPH,TRAMPH,USA
DECATUR,62521,Illinois,IL,Macon,Decatur,ROSY POSY,ROSY POSY,USA
DECATUR,62526,Illinois,IL,Macon,Decatur,SALLY,SALLY,USA
DECATUR,46733,Indiana,IN,Adams,Decatur,HOPPER,HOPPER,USA
DECATUR,49045,Michigan,MI,Van Buren,Decatur,DODIE,DODIE,USA
DECATUR,35603,Alabama,AL,Morgan,Decatur,DAISY,DAISY,USA
DECATUR,35603,Alabama,AL,Morgan,Decatur,LIL' SMIDGEN,LIL' SMIDGEN,USA
DECATUR,35603,Alabama,AL,Morgan,Decatur,FLUTTER,FLUTTER,USA
DECATUR,30035,Georgia,GA,DeKalb,Decatur,DOODY,DOODY,USA
DECATUR,30036,Georgia,GA,DeKalb,Decatur,GRAN 'E' LUV,GRAN 'E' LUV,USA
DECATUR,30033,Georgia,GA,DeKalb,Decatur,MR BOJANGLES,MR BOJANGLES,USA
DEER PARK,99006,Washington,WA,Spokane,Deer Park,TOODLES,TOODLES,USA
DEER PARK,77536,Texas,TX,Harris,Deer Park,DEWDROP,DEWDROP,USA
DEER PARK,77536,Texas,TX,Harris,Deer Park,FORGETFUL,FORGETFUL,USA
DEER RIVER,56636,Minnesota,MN,Itasca,Deer River,SPARKY,SPARKY,USA
DEERFIELD,3037,New Hampshire,NH,Rockingham,Deerfield,FLORA,FLORA,USA
